date,state,area,prominent_pollutants,aqi_value,air_quality_status
2026-09-15,Maharashtra,Hingoli,PM 10,51,Satisfactory
2026-09-15,Haryana,Hisar,SO2,133,Moderate
2026-09-15,West Bengal,Howrah,"PM , PM 2.5 10",89,Satisfactory
2026-09-15,Karnataka,Hubballi,PM 10,55,Satisfactory
2026-09-15,Telangana,Hyderabad,PM 10,52,Satisfactory
2026-09-15,Madhya Pradesh,Indore,"NO2, SO2, PM 10",42,Good
2026-09-15,Madhya Pradesh,Jabalpur,"NO2, PM , O 10 3",61,Satisfactory
2026-09-15,Rajasthan,Jaipur,"PM , CO, NO2 10",63,Satisfactory
2026-09-15,Rajasthan,Jaisalmer,O 3,68,Satisfactory
2026-09-15,Punjab,Jalandhar,PM 2.5,84,Satisfactory
2026-09-15,Maharashtra,Jalgaon,PM 10,83,Satisfactory
2026-09-15,Rajasthan,Jalore,O 3,36,Good
2026-09-15,Rajasthan,Jhalawar,CO,61,Satisfactory
2026-09-15,Uttar Pradesh,Jhansi,PM 10,48,Good
2026-09-15,Rajasthan,Jhunjhunu,PM 10,87,Satisfactory
2026-09-15,Haryana,Jind,PM 2.5,127,Moderate
2026-09-15,Rajasthan,Jodhpur,"PM , O 10 3",49,Good
2026-09-15,Jharkhand,Jorapokhar,PM 10,89,Satisfactory
2026-09-15,Andhra Pradesh,Kadapa,PM 10,59,Satisfactory
2026-09-15,Haryana,Kaithal,O 3,100,Satisfactory
2026-09-15,,Kakinada,O 3,33,Good
2026-09-15,Karnataka,Kalaburagi,PM 10,34,Good
2026-09-15,Uttar Pradesh,Kanpur,"PM , SO2, PM 10 2.5",62,Satisfactory
2026-09-15,Bihar,Katihar,CO,74,Satisfactory
2026-09-15,Madhya Pradesh,Katni,PM 10,70,Satisfactory
2026-09-15,Odisha,Keonjhar,PM 10,63,Satisfactory
2026-09-15,Punjab,Khanna,CO,67,Satisfactory
2026-09-15,Uttar Pradesh,Khora,PM 2.5,169,Moderate
2026-09-15,Uttar Pradesh,Khurja,PM 10,78,Satisfactory
2026-09-15,Bihar,Kishanganj,PM 2.5,53,Satisfactory
2026-09-15,Nagaland,Kohima,SO2,63,Satisfactory
2026-09-15,Maharashtra,Kolhapur,PM 10,27,Good
2026-09-15,West Bengal,Kolkata,"PM , O 10 3",65,Satisfactory
2026-09-15,Chhattisgarh,Korba,"PM , PM 10 2.5",78,Satisfactory
2026-09-15,Rajasthan,Kota,"PM , O 10 3",34,Good
2026-09-15,Chhattisgarh,Kunjemura,PM 10,59,Satisfactory
2026-09-15,,Kurnool,PM 2.5,50,Good
2026-09-15,Haryana,Kurukshetra,PM 10,61,Satisfactory
2026-09-15,Maharashtra,Latur,PM 10,34,Good
2026-09-15,,Leh,O 3,205,Poor
2026-09-15,Uttar Pradesh,Lucknow,"PM , PM 2.5 10",73,Satisfactory
2026-09-15,Punjab,Ludhiana,PM 10,78,Satisfactory
2026-09-15,Andhra Pradesh,Machilipatnam,PM 2.5,57,Satisfactory
2026-09-15,Karnataka,Madikeri,PM 2.5,30,Good
2026-09-15,Maharashtra,Mahad,PM 10,46,Good
2026-09-15,Madhya Pradesh,Maihar,PM 10,60,Satisfactory
2026-09-15,Maharashtra,Malegaon,PM 10,58,Satisfactory
2026-09-15,Madhya Pradesh,Mandideep,PM 10,60,Satisfactory
2026-09-15,Punjab,Mandi Gobindgarh,PM 10,154,Moderate
2026-09-15,Haryana,Manesar,PM 2.5,126,Moderate
2026-09-15,Bihar,Manguraha,PM 10,75,Satisfactory
2026-09-15,Uttar Pradesh,Mathura,PM 10,63,Satisfactory
2026-09-15,Uttar Pradesh,Meerut,"PM , PM 2.5 10",76,Satisfactory
2026-09-15,Gujarat,Mehsana,PM 10,61,Satisfactory
2026-09-15,Maharashtra,Mira-Bhayandar,PM 2.5,25,Good
2026-09-15,Uttar Pradesh,Moradabad,"PM , PM 10 2.5",75,Satisfactory
2026-09-15,Bihar,Motihari,O 3,55,Satisfactory
2026-09-15,Maharashtra,Mumbai,"NO2, PM 10",44,Good
2026-09-15,Uttar Pradesh,Muzaffarnagar,PM 10,77,Satisfactory
2026-09-15,Bihar,Muzaffarpur,"PM , O 10 3",63,Satisfactory
2026-09-15,Karnataka,Mysuru,PM 10,57,Satisfactory
2026-09-15,Assam,Nagaon,PM 2.5,64,Satisfactory
2026-09-15,Rajasthan,Nagaur,PM 10,76,Satisfactory
2026-09-15,Maharashtra,Nagpur,"PM , PM 2.5 10",46,Good
2026-09-15,Arunachal Pradesh,Naharlagun,PM 10,35,Good
2026-09-15,Gujarat,Nandesari,PM 2.5,55,Satisfactory
2026-09-15,Haryana,Narnaul,PM 10,97,Satisfactory
2026-09-15,Maharashtra,Nashik,"PM , CO 10",30,Good
2026-09-15,Maharashtra,Navi Mumbai,"NO2, PM 10",33,Good
2026-09-15,Odisha,Nayagarh,PM 10,41,Good
2026-09-15,Andhra Pradesh,Nellore,PM 10,62,Satisfactory
2026-09-15,Uttar Pradesh,Noida,"PM , PM 2.5 10",123,Moderate
2026-09-15,Rajasthan,Pali,PM 10,88,Satisfactory
2026-09-15,Haryana,Palwal,CO,93,Satisfactory
2026-09-15,Jammu and Kashmir,Pampore,PM 10,64,Satisfactory
2026-09-15,Haryana,Panchgaon,NO2,34,Good
2026-09-15,Haryana,Panchkula,PM 2.5,45,Good
2026-09-15,Haryana,Panipat,PM 2.5,179,Moderate
2026-09-15,,Paradeep,CO,81,Satisfactory
2026-09-15,Maharashtra,Parbhani,PM 10,66,Satisfactory
2026-09-15,Punjab,Patiala,PM 10,39,Good
2026-09-15,Bihar,Patna,"PM , PM , O 2.5 10 3",77,Satisfactory
2026-09-15,Maharashtra,Pimpri-Chinchwad,PM 10,39,Good
2026-09-15,Madhya Pradesh,Pithampur,PM 2.5,55,Satisfactory
2026-09-15,Rajasthan,Pratapgarh,O 3,35,Good
2026-09-15,Uttar Pradesh,Prayagraj,"PM , O 10 3",60,Satisfactory
2026-09-15,Puducherry,Puducherry,O 3,64,Satisfactory
2026-09-15,Maharashtra,Pune,"CO, PM 10",50,Good
2026-09-15,Bihar,Purnia,PM 2.5,63,Satisfactory
2026-09-15,Uttar Pradesh,Raebareli,PM 10,78,Satisfactory
2026-09-15,Chhattisgarh,Raipur,"PM , CO 10",33,Good
2026-09-15,Odisha,Rairangpur,PM 10,45,Good
2026-09-15,Andhra Pradesh,Rajamahendravaram,PM 10,38,Good
2026-09-15,Bihar,Rajgir,PM 2.5,45,Good
2026-09-15,Gujarat,Rajkot,PM 10,48,Good
2026-09-15,Karnataka,Ramanagara,PM 10,54,Satisfactory
2026-09-15,Madhya Pradesh,Ratlam,NO2,42,Good
2026-09-15,Haryana,Rohtak,PM 10,92,Satisfactory
2026-09-15,Odisha,Rourkela,"PM , PM 2.5 10",45,Good
2026-09-15,Punjab,Rupnagar,CO,58,Satisfactory
2026-09-15,Madhya Pradesh,Sagar,O 3,42,Good
2026-09-15,Bihar,Saharsa,PM 10,144,Moderate
2026-09-15,Maharashtra,Sangli,PM 2.5,29,Good
2026-09-15,Bihar,Sasaram,PM 2.5,25,Good
2026-09-15,Maharashtra,Satara,PM 10,81,Satisfactory
2026-09-15,Madhya Pradesh,Satna,PM 10,71,Satisfactory
2026-09-15,Rajasthan,Sawai Madhopur,O 3,52,Satisfactory
2026-09-15,,Shamli,PM 10,64,Satisfactory
2026-09-15,Karnataka,Shivamogga,PM 10,39,Good
2026-09-15,Rajasthan,Sikar,PM 10,97,Satisfactory
2026-09-15,Assam,Silchar,PM 10,57,Satisfactory
2026-09-15,Rajasthan,Sirohi,O 3,43,Good
2026-09-15,Haryana,Sirsa,CO,94,Satisfactory
2026-09-15,Assam,Sivasagar,O 3,44,Good
2026-09-15,Maharashtra,Solapur,PM 10,42,Good
2026-09-15,Haryana,Sonipat,PM 10,67,Satisfactory
2026-09-15,Rajasthan,Sri Ganganagar,PM 10,79,Satisfactory
2026-09-15,Jammu and Kashmir,Srinagar,PM 10,40,Good
2026-09-15,Gujarat,Surat,"PM , CO 10",60,Satisfactory
2026-09-15,Maharashtra,Thane,PM 10,45,Good
2026-09-15,Kerala,Thiruvananthapuram,PM 10,59,Satisfactory
2026-09-15,Kerala,Thrissur,PM 2.5,59,Satisfactory
2026-09-15,Andhra Pradesh,Tirumala,NO2,58,Satisfactory
2026-09-15,Andhra Pradesh,Tirupati,PM 10,80,Satisfactory
2026-09-15,Rajasthan,Tonk,CO,108,Moderate
2026-09-15,Chhattisgarh,Tumidih,PM 10,69,Satisfactory
2026-09-15,Rajasthan,Udaipur,PM 10,46,Good
