date,state,area,prominent_pollutants,aqi_value,air_quality_status,main_pollutant
2026-08-04,Uttar Pradesh,Khurja,CO,55,Satisfactory,CO
2026-08-04,Bihar,Kishanganj,PM2.5,49,Good,PM2.5
2026-08-04,Nagaland,Kohima,SO2,50,Good,SO2
2026-08-04,Maharashtra,Kolhapur,PM10,31,Good,PM10
2026-08-04,West Bengal,Kolkata,PM10,68,Satisfactory,PM10
2026-08-04,Chhattisgarh,Korba,SO2 CO,41,Good,SO2
2026-08-04,Rajasthan,Kota,PM10,58,Satisfactory,PM10
2026-08-04,Chhattisgarh,Kunjemura,PM10,39,Good,PM10
2026-08-04,,Kurnool,PM10,29,Good,PM10
2026-08-04,Haryana,Kurukshetra,PM2.5,45,Good,PM2.5
2026-08-04,Maharashtra,Latur,PM10,34,Good,PM10
2026-08-04,Uttar Pradesh,Lucknow,PM10 CO,51,Satisfactory,PM10
2026-08-04,Punjab,Ludhiana,PM10,72,Satisfactory,PM10
2026-08-04,Andhra Pradesh,Machilipatnam,PM2.5,82,Satisfactory,PM2.5
2026-08-04,Karnataka,Madikeri,PM10,15,Good,PM10
2026-08-04,Tamil Nadu,Madurai,PM10,28,Good,PM10
2026-08-04,Maharashtra,Mahad,PM10,52,Satisfactory,PM10
2026-08-04,Madhya Pradesh,Maihar,SO2,26,Good,SO2
2026-08-04,Maharashtra,Malegaon,PM10,42,Good,PM10
2026-08-04,Madhya Pradesh,Mandideep,PM10,64,Satisfactory,PM10
2026-08-04,Punjab,Mandi Gobindgarh,PM10,123,Moderate,PM10
2026-08-04,Haryana,Mandikhera,PM10,99,Satisfactory,PM10
2026-08-04,Haryana,Manesar,O3,34,Good,O3
2026-08-04,Karnataka,Mangalore,PM10,48,Good,PM10
2026-08-04,Uttar Pradesh,Mathura,PM2.5,28,Good,PM2.5
2026-08-04,Uttar Pradesh,Meerut,PM10 CO,46,Good,PM10
2026-08-04,Gujarat,Mehsana,PM10,87,Satisfactory,PM10
2026-08-04,Chhattisgarh,Milupara,PM10,31,Good,PM10
2026-08-04,Maharashtra,Mira-Bhayandar,PM10,38,Good,PM10
2026-08-04,Uttar Pradesh,Moradabad,PM2.5 PM10,49,Good,PM2.5
2026-08-04,Maharashtra,Mumbai,PM10,49,Good,PM10
2026-08-04,Uttar Pradesh,Muzaffarnagar,PM10,45,Good,PM10
2026-08-04,Bihar,Muzaffarpur,PM10,31,Good,PM10
2026-08-04,Karnataka,Mysuru,PM10,50,Good,PM10
2026-08-04,Assam,Nagaon,PM2.5,56,Satisfactory,PM2.5
2026-08-04,Rajasthan,Nagaur,PM10,84,Satisfactory,PM10
