date,state,area,prominent_pollutants,aqi_value,air_quality_status,main_pollutant
2026-06-30,Jammu and Kashmir,Srinagar,PM10,64,Satisfactory,PM10
2026-06-30,Odisha,Suakati,O3,97,Satisfactory,O3
2026-06-30,Gujarat,Surat,PM10 CO,54,Satisfactory,PM10
2026-06-30,Odisha,Talcher,CO,105,Moderate,CO
2026-06-30,Maharashtra,Thane,PM10,62,Satisfactory,PM10
2026-06-30,Kerala,Thiruvananthapuram,PM10,37,Good,PM10
2026-06-30,Tamil Nadu,Thoothukudi,PM10,73,Satisfactory,PM10
2026-06-30,Andhra Pradesh,Tirumala,NO2,40,Good,NO2
2026-06-30,Andhra Pradesh,Tirupati,PM10,70,Satisfactory,PM10
2026-06-30,Rajasthan,Tonk,PM10,100,Satisfactory,PM10
2026-06-30,Chhattisgarh,Tumidih,NO2,49,Good,NO2
2026-06-30,Rajasthan,Udaipur,PM10,97,Satisfactory,PM10
2026-06-30,Madhya Pradesh,Ujjain,O3,53,Satisfactory,O3
2026-06-30,Maharashtra,Ulhasnagar,O3,30,Good,O3
2026-06-30,Gujarat,Vadodara,CO,94,Satisfactory,CO
2026-06-30,Uttar Pradesh,Varanasi,PM10,56,Satisfactory,PM10
2026-06-30,Gujarat,Vatva,PM2.5,109,Moderate,PM2.5
2026-06-30,Karnataka,Vijayapura,PM10,39,Good,PM10
2026-06-30,Andhra Pradesh,Vijayawada,PM10,64,Satisfactory,PM10
2026-06-30,Maharashtra,Virar,CO,53,Satisfactory,CO
2026-06-30,Andhra Pradesh,Visakhapatnam,PM10,115,Moderate,PM10
2026-06-30,Uttar Pradesh,Vrindavan,PM10,84,Satisfactory,PM10
2026-06-30,Karnataka,Yadgir,PM10,20,Good,PM10
2026-06-30,Haryana,Yamuna Nagar,NO2,61,Satisfactory,NO2
